"EVTYPE";"nobs";"qFA";"qIN";"qPR";"qCR"
"92";"DROUGHT";2488;0;4;1046106000;13972566000
"162";"flood";83798;1495;8662;166831699942.5;12329066650
"383";"hurricane";61632;5848;93014;151456606236.5;6601417070
"932";"winter";24288;457;4571;11319877061;5176117500
"64";"cold";3671;382;270;96075400;3162034000
"231";"HAIL";288661;15;1361;15735267512.7;3025954473
"919";"wind";349698;1092;11167;17215948819.1;1968646838
"262";"heat";2541;3108;9089;20125750;904413500
"516";"rain";11725;98;251;3194248090;733399800
"144";"fire";4222;90;1606;8391043500;402269630
"294";"HEAVY SNOW";15708;127;1021;932759140;134653100
"441";"LIGHTNING";15754;816;5230;930379429.5;12092090
"179";"fog";1831;80;1076;22829500;0
"19";"AVALANCHE";386;224;170;3721800;0
"564";"ripcurrent";774;572;529;163000;0
